experiment,T,n_schedules,csv_rows,granularity,deadlines,m_requirements,L_coverage_incidences,coverage_density,budget,minimum_budget,budget_used,solver_calls,satisfiable,preprocess_time_sec,solve_time_sec,total_time_sec,summary_csv,file
all-deadlines,4,16,240,label,all,36,392,0.6805555555555556,2,,0,1,False,0.24410499999066815,0.010050750002847053,0.2611731249926379,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_label_deadall_k2
case-level,4,16,240,case,max,45,686,0.9527777777777777,2,,2,1,True,0.18032500000845175,0.025156167001114227,0.20972358300059568,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_case_deadmax_k2
horizon-scaling,4,16,240,label,max,9,120,0.8333333333333334,1,,0,1,False,0.054736542006139643,0.052556208000169136,0.11096316699695308,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_label_deadmax_k1
horizon-scaling,4,16,240,label,max,9,120,0.8333333333333334,2,,0,1,False,0.07987158300238661,0.010742750004283153,0.09288570799981244,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_label_deadmax_k2
horizon-scaling,4,16,240,label,max,9,120,0.8333333333333334,3,,0,1,False,0.048178917000768706,0.00563841599796433,0.05554987500363495,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_label_deadmax_k3
min-budget,4,16,240,label,max,9,120,0.8333333333333334,,,0,17,False,0.05704941600561142,0.02997220899851527,0.08902833300817292,controller_level_summary_T_4.csv,controller_level_summary_T_4_T4_label_deadmax_minbudget
all-deadlines,6,64,384,label,all,54,2568,0.7430555555555556,2,,0,1,False,1.0679186659981497,0.010259541988489218,1.0919632079894654,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_label_deadall_k2
case-level,6,64,384,case,max,18,1139,0.9887152777777778,2,,2,1,True,0.34243908399366774,0.032957167000859044,0.38089454200235195,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_case_deadmax_k2
horizon-scaling,6,64,384,label,max,9,504,0.875,1,,0,1,False,0.17224004099261947,0.007071666012052447,0.18349941598717123,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_label_deadmax_k1
horizon-scaling,6,64,384,label,max,9,504,0.875,2,,0,1,False,0.18793245899723843,0.007129332996555604,0.20065374999830965,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_label_deadmax_k2
horizon-scaling,6,64,384,label,max,9,504,0.875,3,,0,1,False,0.17235024999536108,0.008966207999037579,0.18531629200151656,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_label_deadmax_k3
min-budget,6,64,384,label,max,9,504,0.875,,,0,65,False,0.28145662500173785,0.17995108298782725,0.4648576250037877,controller_level_summary_T_6.csv,controller_level_summary_T_6_T6_label_deadmax_minbudget
all-deadlines,8,256,1536,label,all,72,14344,0.7782118055555556,2,,0,1,False,7.184208624996245,0.022133708000183105,7.265436417001183,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_label_deadall_k2
case-level,8,256,1536,case,max,18,4595,0.9971788194444444,2,,1,1,True,1.5686512500105891,0.3889891250000801,1.9851345420029247,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_case_deadmax_k2
horizon-scaling,8,256,1536,label,max,9,2040,0.8854166666666666,1,,0,1,False,0.8068119590025162,0.014027167009771802,0.8302859170071315,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_label_deadmax_k1
horizon-scaling,8,256,1536,label,max,9,2040,0.8854166666666666,2,,0,1,False,0.9537139159947401,0.018020666000666097,0.9813678329956019,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_label_deadmax_k2
horizon-scaling,8,256,1536,label,max,9,2040,0.8854166666666666,3,,0,1,False,0.7422651249944465,0.012743833009153605,0.7639177090022713,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_label_deadmax_k3
min-budget,8,256,1536,label,max,9,2040,0.8854166666666666,,,0,257,False,0.7927933750033844,1.1146353329968406,1.9167122090002522,controller_level_summary_T_8.csv,controller_level_summary_T_8_T8_label_deadmax_minbudget
all-deadlines,10,1024,6144,label,all,90,73736,0.8000868055555556,2,,0,1,False,31.380713582999306,0.07978904200717807,31.77868820799631,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_label_deadall_k2
case-level,10,1024,6144,case,max,18,18419,0.9992947048611112,2,,2,1,True,8.059423208993394,6.179479665996041,14.324621749998187,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_case_deadmax_k2
horizon-scaling,10,1024,6144,label,max,9,8184,0.8880208333333334,1,,0,1,False,3.43693420800264,0.03304079099325463,3.502097958000377,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_label_deadmax_k1
horizon-scaling,10,1024,6144,label,max,9,8184,0.8880208333333334,2,,0,1,False,3.745611000005738,0.0329842089995509,3.813878458007821,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_label_deadmax_k2
horizon-scaling,10,1024,6144,label,max,9,8184,0.8880208333333334,3,,0,1,False,3.8470758750045206,0.04281425000226591,3.9292258329951437,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_label_deadmax_k3
min-budget,10,1024,6144,label,max,9,8184,0.8880208333333334,,,0,1025,False,3.6376882920012577,13.765514874990913,17.433702249996713,controller_level_summary_T_10.csv,controller_level_summary_T_10_T10_label_deadmax_minbudget
