experiment,T,n_schedules,csv_rows,granularity,deadlines,m_requirements,L_coverage_incidences,coverage_density,thresholds,budget,minimum_budget,budget_used,solver_calls,satisfiable,preprocess_time_sec,solve_time_sec,total_time_sec,result_file
horizon-scaling-fixed-k,4,16,240,label,max,9,126,0.875,"1in:24.8,5in:24.6,9in:24.4",1,,1,1,True,0.05421375000150874,0.012668834009673446,0.06966287500108592,runtime_results_moderate_label/controller_level_summary_T_4_T4_label_deadmax_k1.result.json
horizon-scaling-fixed-k,4,16,240,label,max,9,126,0.875,"1in:24.8,5in:24.6,9in:24.4",2,,2,1,True,0.04821370798163116,0.01151483299327083,0.06230849999701604,runtime_results_moderate_label/controller_level_summary_T_4_T4_label_deadmax_k2.result.json
horizon-scaling-fixed-k,4,16,240,label,max,9,126,0.875,"1in:24.8,5in:24.6,9in:24.4",3,,3,1,True,0.04834558398579247,0.011626166000496596,0.06226149998838082,runtime_results_moderate_label/controller_level_summary_T_4_T4_label_deadmax_k3.result.json
horizon-scaling-fixed-k,6,64,384,label,max,9,549,0.953125,"1in:24.8,5in:24.6,9in:24.4",1,,1,1,True,0.187680624978384,0.02903570799389854,0.22089283299283125,runtime_results_moderate_label/controller_level_summary_T_6_T6_label_deadmax_k1.result.json
horizon-scaling-fixed-k,6,64,384,label,max,9,549,0.953125,"1in:24.8,5in:24.6,9in:24.4",2,,2,1,True,0.19203591599944048,0.03049466697848402,0.22670070797903463,runtime_results_moderate_label/controller_level_summary_T_6_T6_label_deadmax_k2.result.json
horizon-scaling-fixed-k,6,64,384,label,max,9,549,0.953125,"1in:24.8,5in:24.6,9in:24.4",3,,3,1,True,0.18327679100912064,0.029213416011771187,0.2182193750049919,runtime_results_moderate_label/controller_level_summary_T_6_T6_label_deadmax_k3.result.json
horizon-scaling-fixed-k,8,256,1536,label,max,9,2264,0.9826388888888888,"1in:24.8,5in:24.6,9in:24.4",1,,1,1,True,0.8285571250016801,0.22967408399563283,1.0685514580109157,runtime_results_moderate_label/controller_level_summary_T_8_T8_label_deadmax_k1.result.json
horizon-scaling-fixed-k,8,256,1536,label,max,9,2264,0.9826388888888888,"1in:24.8,5in:24.6,9in:24.4",2,,2,1,True,0.8005892500223126,0.22626758299884386,1.0367034579976462,runtime_results_moderate_label/controller_level_summary_T_8_T8_label_deadmax_k2.result.json
horizon-scaling-fixed-k,8,256,1536,label,max,9,2264,0.9826388888888888,"1in:24.8,5in:24.6,9in:24.4",3,,2,1,True,0.880152999976417,0.2715791249938775,1.1653142079885583,runtime_results_moderate_label/controller_level_summary_T_8_T8_label_deadmax_k3.result.json
horizon-scaling-fixed-k,10,1024,6144,label,max,9,9155,0.9933810763888888,"1in:24.8,5in:24.6,9in:24.4",1,,1,1,True,3.785752333002165,1.2351469590212218,5.059358708007494,runtime_results_moderate_label/controller_level_summary_T_10_T10_label_deadmax_k1.result.json
horizon-scaling-fixed-k,10,1024,6144,label,max,9,9155,0.9933810763888888,"1in:24.8,5in:24.6,9in:24.4",2,,2,1,True,3.7646309999981895,0.8909052499802783,4.690089750016341,runtime_results_moderate_label/controller_level_summary_T_10_T10_label_deadmax_k2.result.json
horizon-scaling-fixed-k,10,1024,6144,label,max,9,9155,0.9933810763888888,"1in:24.8,5in:24.6,9in:24.4",3,,3,1,True,3.6014986250083894,0.9345849999808706,4.572504250012571,runtime_results_moderate_label/controller_level_summary_T_10_T10_label_deadmax_k3.result.json
horizon-scaling-fixed-k,12,4096,24576,label,max,9,36766,0.9973415798611112,"1in:24.8,5in:24.6,9in:24.4",1,,1,1,True,17.148901499982458,29.31709341701935,46.594234374992084,runtime_results_moderate_label/controller_level_summary_T_12_T12_label_deadmax_k1.result.json
horizon-scaling-fixed-k,12,4096,24576,label,max,9,36766,0.9973415798611112,"1in:24.8,5in:24.6,9in:24.4",2,,2,1,True,16.929043916024966,29.32115704199532,46.378637375019025,runtime_results_moderate_label/controller_level_summary_T_12_T12_label_deadmax_k2.result.json
horizon-scaling-fixed-k,12,4096,24576,label,max,9,36766,0.9973415798611112,"1in:24.8,5in:24.6,9in:24.4",3,,3,1,True,17.198976958025014,29.054635708977003,46.38509004202206,runtime_results_moderate_label/controller_level_summary_T_12_T12_label_deadmax_k3.result.json
max-deadline-minbudget,4,16,240,label,max,9,126,0.875,"1in:24.8,5in:24.6,9in:24.4",1,1,1,2,True,0.050701625004876405,0.017696708004223183,0.07077591700362973,runtime_results_moderate_label/controller_level_summary_T_4_T4_label_deadmax_minbudget.result.json
max-deadline-minbudget,6,64,384,label,max,9,549,0.953125,"1in:24.8,5in:24.6,9in:24.4",1,1,1,2,True,0.18304516599164344,0.040851500001735985,0.22791770799085498,runtime_results_moderate_label/controller_level_summary_T_6_T6_label_deadmax_minbudget.result.json
max-deadline-minbudget,8,256,1536,label,max,9,2264,0.9826388888888888,"1in:24.8,5in:24.6,9in:24.4",1,1,1,2,True,0.9841810840007383,0.35092708398588,1.3440874590014573,runtime_results_moderate_label/controller_level_summary_T_8_T8_label_deadmax_minbudget.result.json
max-deadline-minbudget,10,1024,6144,label,max,9,9155,0.9933810763888888,"1in:24.8,5in:24.6,9in:24.4",1,1,1,2,True,3.5034688749874476,3.0449542089772876,6.591741374984849,runtime_results_moderate_label/controller_level_summary_T_10_T10_label_deadmax_minbudget.result.json
max-deadline-minbudget,12,4096,24576,label,max,9,36766,0.9973415798611112,"1in:24.8,5in:24.6,9in:24.4",1,1,1,2,True,16.90628925000783,73.90661179201561,90.94153791698045,runtime_results_moderate_label/controller_level_summary_T_12_T12_label_deadmax_minbudget.result.json
all-deadlines-minbudget,4,16,240,label,all,36,441,0.765625,"1in:24.6,5in:24.4,9in:24.2",1,1,1,2,True,0.18914179102284834,0.022829583002021536,0.22094191602081992,runtime_results_moderate_label/controller_level_summary_T_4_T4_label_deadall_minbudget.result.json
all-deadlines-minbudget,6,64,384,label,all,54,2889,0.8359375,"1in:24.6,5in:24.4,9in:24.2",1,1,1,2,True,1.2023352080141194,0.06765829102369025,1.2887788750231266,runtime_results_moderate_label/controller_level_summary_T_6_T6_label_deadall_minbudget.result.json
all-deadlines-minbudget,8,256,1536,label,all,72,16137,0.87548828125,"1in:24.6,5in:24.4,9in:24.2",1,1,1,2,True,5.76679300001706,0.2848461660032626,6.111436458013486,runtime_results_moderate_label/controller_level_summary_T_8_T8_label_deadall_minbudget.result.json
all-deadlines-minbudget,10,1024,6144,label,all,90,82953,0.90009765625,"1in:24.6,5in:24.4,9in:24.2",1,1,1,2,True,30.990639499999816,2.897421125002438,34.18273895798484,runtime_results_moderate_label/controller_level_summary_T_10_T10_label_deadall_minbudget.result.json
all-deadlines-minbudget,12,4096,24576,label,all,108,405513,0.91668701171875,"1in:24.6,5in:24.4,9in:24.2",1,1,1,2,True,157.89599108300172,91.99379666699679,251.47202229200047,runtime_results_moderate_label/controller_level_summary_T_12_T12_label_deadall_minbudget.result.json
